merchant_id,merchant_name,merchant_category,merchant_city,merchant_city_tier,is_active
MER00001,Gokhale Cab Service,Travel,Chandigarh,Tier3,1
MER00002,Jayaraman Hotel,Hotel & Lodging,Kanpur,Tier2,1
MER00003,Misra Railway Booking,Travel,Nashik,Tier2,1
MER00004,Lata Nykaa,E-commerce,Patna,Tier2,0
MER00005,Bains Daily Needs,Grocery,Bangalore,Tier1,1
MER00006,Yadav Railway Booking,Travel,Ahmedabad,Tier1,1
MER00007,Hayer Restaurant,Food & Beverage,Bangalore,Tier1,1
MER00008,Ranganathan Uber,Auto & Transport,Visakhapatnam,Tier2,1
MER00009,Sinha Supermart,Grocery,Coimbatore,Tier2,0
MER00010,Dhingra Juice Corner,Food & Beverage,Madurai,Tier2,1
MER00011,Ramakrishnan Uber,Auto & Transport,Mumbai,Tier1,1
MER00012,Om Rapido,Auto & Transport,Chennai,Tier1,1
MER00013,Dora Personal Transfer,P2P Transfer,Ahmedabad,Tier1,1
MER00014,Gandhi Dhaba,Food & Beverage,Delhi,Tier1,1
MER00015,Sinha Supermart,Grocery,Ahmedabad,Tier1,0
MER00016,Kunda General Store,Grocery,Patna,Tier2,1
MER00017,Chakrabarti Fuel Station,Fuel,Bhopal,Tier2,1
MER00018,Mani DTH Services,Utilities,Guwahati,Tier3,1
MER00019,Saxena Fresh Mart,Grocery,Patna,Tier2,1
MER00020,Bera Bus Service,Travel,Chennai,Tier1,1
MER00021,Goda Meesho,E-commerce,Lucknow,Tier2,1
MER00022,Dyal Medical Store,Healthcare,Allahabad,Tier3,1
MER00023,Brahmbhatt Gadget Shop,Electronics,Delhi,Tier1,1
MER00024,Choudhry Uber,Auto & Transport,Jaipur,Tier2,1
MER00025,Wason Water Supply,Utilities,Delhi,Tier1,1
MER00026,Narasimhan Inn,Hotel & Lodging,Bareilly,Tier3,1
MER00027,Garde Zerodha,Investment,Chennai,Tier1,1
MER00028,Savant Clinic,Healthcare,Jaipur,Tier2,1
MER00029,Pingle Amazon,E-commerce,Mumbai,Tier1,1
MER00030,Chauhan Tiffin Center,Food & Beverage,Kolkata,Tier1,1
MER00031,Boase Kirana Store,Grocery,Hyderabad,Tier1,1
MER00032,Ramaswamy Juice Corner,Food & Beverage,Lucknow,Tier2,1
MER00033,Dey Metro Card,Auto & Transport,Moradabad,Tier3,1
MER00034,Dhawan Uber,Auto & Transport,Patna,Tier2,1
MER00035,Goel Supermart,Grocery,Coimbatore,Tier2,1
MER00036,Shenoy Personal Transfer,P2P Transfer,Jaipur,Tier2,1
MER00037,Srinivas Friend Transfer,P2P Transfer,Nagpur,Tier2,1
MER00038,Contractor Railway Booking,Travel,Kanpur,Tier2,1
MER00039,Sabharwal LIC,Insurance,Agra,Tier2,1
MER00040,Barman Rapido,Auto & Transport,Agra,Tier2,1
MER00041,Khatri Juice Corner,Food & Beverage,Kolkata,Tier1,1
MER00042,Nair Garments,Clothing & Fashion,Vadodara,Tier2,1
MER00043,Palla Mobile Store,Electronics,Delhi,Tier1,1
MER00044,Warrior OTT Platform,Entertainment,Gorakhpur,Tier3,1
MER00045,Dugal Rapido,Auto & Transport,Chennai,Tier1,1
MER00046,Doshi Amazon,E-commerce,Chennai,Tier1,1
MER00047,Murty Family Transfer,P2P Transfer,Ahmedabad,Tier1,1
MER00048,Dhillon Broadband,Utilities,Chennai,Tier1,1
MER00049,Bali Daily Needs,Grocery,Hyderabad,Tier1,1
MER00050,Bawa Juice Corner,Food & Beverage,Agra,Tier2,1
MER00051,Sami Appliances,Electronics,Surat,Tier2,1
MER00052,Warrior Snapdeal,E-commerce,Chennai,Tier1,1
MER00053,Kata Cinema,Entertainment,Ahmedabad,Tier1,1
MER00054,Sami General Store,Grocery,Ahmedabad,Tier1,1
MER00055,Kapoor Rapido,Auto & Transport,Moradabad,Tier3,1
MER00056,Talwar Service Apartment,Hotel & Lodging,Chennai,Tier1,1
MER00057,Barad Service Apartment,Hotel & Lodging,Hyderabad,Tier1,0
MER00058,Wagle Snapdeal,E-commerce,Hyderabad,Tier1,1
MER00059,Mittal Garments,Clothing & Fashion,Tiruchirappalli,Tier3,1
MER00060,Jain Daily Needs,Grocery,Kanpur,Tier2,1
MER00061,Khalsa Electric Board,Utilities,Nagpur,Tier2,1
MER00062,Pau OTT Platform,Entertainment,Delhi,Tier1,1
MER00063,Wable Kirana Store,Grocery,Madurai,Tier2,1
MER00064,Raval Daily Needs,Grocery,Chandigarh,Tier3,0
MER00065,Chauhan Ola,Auto & Transport,Amritsar,Tier3,1
MER00066,Tara BPCL Outlet,Fuel,Hyderabad,Tier1,1
MER00067,Karpe Readymade,Clothing & Fashion,Coimbatore,Tier2,1
MER00068,Buch Broadband,Utilities,Surat,Tier2,1
MER00069,Mahajan Cinema,Entertainment,Hyderabad,Tier1,1
