txn_id,txn_datetime,txn_date,txn_month,txn_year,txn_hour,day_of_week,user_id,user_city,user_city_tier,user_age,user_gender,user_activity_level,merchant_id,merchant_name,merchant_category,merchant_city,platform_used,preferred_platform,is_preferred_platform,payment_mode,device_type,amount,status,unusual_hour_flag,high_amount_flag,round_amount_flag,velocity_flag,fraud_score,is_fraud,is_weekend,time_of_day,is_festival_month,quarter,amount_bucket,is_success,is_failed,is_cross_city,age_group
TXN00000001,11-06-2023 15:18,11-06-2023,6,2023,15,Sunday,USR006322,Patna,Tier2,34,Male,High,MER00760,Madan Realty,Rent,Vadodara,Google Pay,Google Pay,1,UPI ID,Android,4914.5,Success,0,0,0,0,0,0,1,Afternoon,0,2,Large (1K-5K),1,0,1,Millennial (26-35)
TXN00000002,12-08-2023 16:57,12-08-2023,8,2023,16,Saturday,USR007834,Madurai,Tier2,49,Male,High,MER00562,Garg Uber,Auto & Transport,Lucknow,PhonePe,PhonePe,1,UPI ID,Android,91.64,Success,0,0,0,0,0,0,1,Afternoon,1,3,Micro (<100),1,0,1,Senior (46-55)
TXN00000003,28-05-2023 10:03,28-05-2023,5,2023,10,Sunday,USR000455,Bareilly,Tier3,23,Female,High,MER01989,Hari Travel Agency,Travel,Delhi,Google Pay,Google Pay,1,QR Scan,Android,3788.25,Success,0,0,0,0,0,0,1,Morning,0,2,Large (1K-5K),1,0,1,Gen Z (18-25)
TXN00000004,27-12-2022 17:29,27-12-2022,12,2022,17,Tuesday,USR002375,Nashik,Tier2,40,Female,Low,MER01650,Palla Friend Transfer,P2P Transfer,Allahabad,Google Pay,Google Pay,1,UPI ID,Android,1236.11,Success,0,0,0,0,0,0,0,Evening,0,4,Large (1K-5K),1,0,1,Gen X (36-45)
TXN00000005,22-12-2023 08:29,22-12-2023,12,2023,8,Friday,USR004770,Surat,Tier2,29,Female,Medium,MER01337,Rau Gas Agency,Utilities,Delhi,Google Pay,Google Pay,1,UPI ID,Android,3041.25,Success,0,0,0,0,0,0,0,Morning,0,4,Large (1K-5K),1,0,1,Millennial (26-35)
TXN00000006,28-03-2022 14:07,28-03-2022,3,2022,14,Monday,USR004273,Hyderabad,Tier1,24,Male,High,MER00064,Raval Daily Needs,Grocery,Chandigarh,PhonePe,PhonePe,1,Payment Link,Android,766.58,Success,0,0,0,0,0,0,0,Afternoon,0,1,Medium (500-1K),1,0,1,Gen Z (18-25)
TXN00000007,19-12-2022 22:44,19-12-2022,12,2022,22,Monday,USR006999,Varanasi,Tier3,29,Female,High,MER00056,Talwar Service Apartment,Hotel & Lodging,Chennai,Amazon Pay,Google Pay,0,Payment Link,iOS,3684.44,Success,0,0,0,0,0,0,0,Night,0,4,Large (1K-5K),1,0,1,Millennial (26-35)
TXN00000008,09-06-2023 16:20,09-06-2023,6,2023,16,Friday,USR004922,Mumbai,Tier1,43,Female,Low,MER01654,Rana Fresh Mart,Grocery,Patna,PhonePe,Google Pay,0,UPI ID,Android,676.94,Failed,0,0,0,0,0,0,0,Afternoon,0,2,Medium (500-1K),0,1,1,Gen X (36-45)
TXN00000009,04-09-2022 23:18,04-09-2022,9,2022,23,Sunday,USR006812,Gorakhpur,Tier3,20,Male,Power,MER01589,Tara Water Supply,Utilities,Ahmedabad,Paytm,Paytm,1,Intent,Android,1907.95,Success,0,0,0,0,0,0,1,Night,1,3,Large (1K-5K),1,0,1,Gen Z (18-25)
TXN00000010,07-06-2023 09:35,07-06-2023,6,2023,9,Wednesday,USR004770,Surat,Tier2,29,Female,Medium,MER00064,Raval Daily Needs,Grocery,Chandigarh,Amazon Pay,Google Pay,0,UPI ID,Android,1279.86,Success,0,0,0,0,0,0,0,Morning,0,2,Large (1K-5K),1,0,1,Millennial (26-35)
TXN00000011,18-04-2022 11:16,18-04-2022,4,2022,11,Monday,USR009554,Meerut,Tier3,39,Male,Medium,MER00010,Dhingra Juice Corner,Food & Beverage,Madurai,WhatsApp Pay,WhatsApp Pay,1,UPI ID,Android,305.67,Success,0,0,0,1,1,0,0,Morning,0,2,Small (100-500),1,0,1,Gen X (36-45)
